CountryName,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Bangladesh,47.75853659,48.23512195,48.80190244,49.41553659,49.98185366,50.22939024,49.8322439,48.66704878,46.78160976,44.36629268,41.88595122,39.93287805,38.96990244,39.25236585,40.7877561,43.33478049,46.44509756,49.53041463,52.12787805,54.04663415,55.23585366,55.80892683,56.08019512,56.30812195,56.58190244,56.95241463,57.42321951,57.93636585,58.44697561,58.95807317,59.47114634,59.98970732,60.51473171,61.04673171,61.58321951,62.12268293,62.66212195,63.19656098,63.72197561,64.23390244,64.73034146,65.20831707,65.66831707,66.10985366,66.53136585,66.93229268,67.31007317,67.66665854,68.00402439,68.32521951
Bosnia and Herzegovina,60.20736585,60.88185366,61.51882927,62.12478049,62.7057561,63.26929268,63.82246341,64.36734146,64.90741463,65.44568293,65.98660976,66.53212195,67.07865854,67.61763415,68.14046341,68.63158537,69.07190244,69.45292683,69.77173171,70.03241463,70.27358537,70.54807317,70.8754878,71.23936585,71.59529268,71.79507317,71.65092683,71.08241463,70.10336585,68.81402439,67.46685366,66.38568293,65.829,65.94185366,66.7302439,68.06819512,69.71419512,71.34795122,72.7164878,73.714,74.30812195,74.55317073,74.61536585,74.63487805,74.65963415,74.72363415,74.83436585,74.96860976,75.10631707,75.25043902
Botswana,50.5372439,50.89763415,51.24553659,51.58441463,51.9217561,52.26753659,52.63270732,53.0262439,53.45663415,53.92787805,54.44446341,55.00941463,55.61373171,56.246,56.89573171,57.54697561,58.1867561,58.80309756,59.38902439,59.93856098,60.45921951,60.96595122,61.46926829,61.96665854,62.44563415,62.90014634,63.32419512,63.69178049,63.96297561,64.09639024,64.01717073,63.648,62.966,61.97670732,60.71163415,59.19780488,57.47765854,55.65153659,53.84170732,52.15895122,50.7654878,49.81156098,49.33753659,49.32734146,49.7374878,50.44656098,51.28431707,52.06895122,52.66368293,53.01153659
Cambodia,42.40414634,42.89490244,43.43168293,43.9905122,44.52839024,44.97585366,45.25541463,45.30658537,45.08185366,44.55621951,43.63270732,42.20785366,40.34660976,38.21192683,36.01119512,34.12573171,32.98534146,32.84090244,33.78990244,35.78941463,38.62407317,41.94058537,45.27673171,48.25119512,50.67160976,52.43502439,53.57090244,54.29614634,54.79963415,55.14785366,55.39729268,55.58146341,55.71439024,55.81604878,55.92385366,56.06526829,56.25726829,56.49226829,56.76714634,57.08882927,57.46414634,57.89646341,58.37521951,58.88943902,59.42863415,59.97939024,60.52831707,61.06458537,61.58085366,62.07219512
Central African Republic,36.48263415,36.89570732,37.31878049,37.76034146,38.22536585,38.72636585,39.2737561,39.87156098,40.51826829,41.20939024,41.94192683,42.71146341,43.503,44.29756098,45.07965854,45.8327561,46.54629268,47.21121951,47.81853659,48.35478049,48.80953659,49.17634146,49.45682927,49.65253659,49.76402439,49.79229268,49.73931707,49.61304878,49.41797561,49.15956098,48.82887805,48.41497561,47.91739024,47.35060976,46.73858537,46.10629268,45.48017073,44.89163415,44.37256098,43.95334146,43.66336585,43.52353659,43.52882927,43.67219512,43.94612195,44.34756098,44.8675122,45.48253659,46.1632439,46.88370732
Kazakhstan,58.30356098,58.71556098,59.13156098,59.54956098,59.96556098,60.37756098,60.77956098,61.16556098,61.53356098,61.87956098,62.19756098,62.48456098,62.74156098,62.97656098,63.19356098,63.40553659,63.62143902,63.85229268,64.10309756,64.37795122,66.62439024,66.70609756,66.78780488,67.66219512,68.53658537,68.53658537,68.91341463,69.2902439,68.84878049,68.2902439,68.33658537,67.98292683,67.73170732,66.72682927,65.67317073,64.9195122,64.1097561,64.46341463,64.56097561,65.5195122,65.51707317,65.76829268,65.96829268,65.86585366,65.88780488,65.9097561,66.16097561,66.50487805,67.02195122,68.42926829
Kenya,46.36241463,47.013,47.6522439,48.2697561,48.86058537,49.4287561,49.98168293,50.5332439,51.09185366,51.66097561,52.23658537,52.8142439,53.38595122,53.9457561,54.49214634,55.03112195,55.57268293,56.12080488,56.67195122,57.21658537,57.74017073,58.22865854,58.6625122,59.02726829,59.31039024,59.50992683,59.63034146,59.67873171,59.65614634,59.55268293,59.33995122,58.97958537,58.46312195,57.79958537,57.01746341,56.14921951,55.23631707,54.33712195,53.51197561,52.81321951,52.29963415,52.01807317,51.96595122,52.1272439,52.48392683,53.00956098,53.66219512,54.38602439,55.12421951,55.83936585
Latvia,69.78682927,70.03243902,69.4304878,69.82902439,71.02804878,70.72658537,70.70731707,70.39390244,70.04292683,69.79682927,69.83536585,70.16463415,69.87878049,69.81341463,69.74097561,68.92536585,69.04780488,69.10463415,68.98780488,68.49560976,68.80853659,68.78634146,69.32829268,69.11902439,69.16292683,69.29146341,70.62243902,70.69292683,70.61536585,70.15536585,69.27317073,69.03243902,68.39609756,66.72268293,65.66439024,66.39121951,68.77658537,69.34926829,69.01219512,69.74292683,70.31463415,70.76097561,70.96097561,71.26585366,72.02682927,71.35609756,70.86585366,71.0195122,72.4195122,73.0804878
Lesotho,46.50095122,46.98497561,47.3924878,47.7164878,47.9614878,48.1404878,48.273,48.39007317,48.52117073,48.68480488,48.89846341,49.17012195,49.49426829,49.865390239999996,50.28395122,50.75297561,51.27341463,51.83831707,52.43365854,53.04746341,53.65873171,54.24397561,54.79370732,55.30143902,55.76865854,56.23834146,56.77239024,57.39182927,58.07270732,58.75614634,59.32685366,59.642,59.59826829,59.13578049,58.24612195,56.93787805,55.25160976,53.32817073,51.32182927,49.35782927,47.58636585,46.13558537,45.05478049,44.3637561,44.07590244,44.17117073,44.59012195,45.21502439,45.93156098,46.66936585
Rwanda,42.22490244,42.51936585,42.80380488,43.0752439,43.32865854,43.55807317,43.75646341,43.92336585,44.06329268,44.1827561,44.28329268,44.36790244,44.44763415,44.54192683,44.67180488,44.89719512,45.28656098,45.85085366,46.56356098,47.36565854,48.20014634,49.00209756,49.65653659,50.03197561,50.00539024,49.27965854,47.53760976,44.76619512,41.14197561,36.96560976,32.82697561,29.44004878,27.33458537,26.81870732,27.93634146,30.47317073,33.97580488,37.76419512,41.27392683,44.23480488,46.51021951,48.13670732,49.37758537,50.44909756,51.39641463,52.24763415,53.00639024,53.65973171,54.20619512,54.66580488
