CountryName,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Albania,62.25436585,63.27346341,64.16234146,64.88709756,65.43768293,65.82943902,66.10007317,66.31180488,66.51643902,66.73846341,66.98943902,67.2655122,67.54446341,67.8135122,68.07226829,68.32582927,68.57770732,68.83434146,69.09963415,69.37707317,69.67404878,70.00046341,70.3512439,70.71541463,71.0764878,71.39758537,71.63736585,71.77492683,71.80936585,71.75421951,71.64543902,71.5314878,71.46521951,71.487,71.61773171,71.87029268,72.24107317,72.69607317,73.19780488,73.72182927,74.23873171,74.72365854,75.16121951,75.54202439,75.85912195,76.112,76.30963415,76.47341463,76.6207561,76.76109756
Argentina,65.17514634,65.29663415,65.3892439,65.46553659,65.53907317,65.62587805,65.74095122,65.8882439,66.07221951,66.29331707,66.5485122,66.83029268,67.12460976,67.42043902,67.71326829,68.00307317,68.29182927,68.58404878,68.8812439,69.17943902,69.46960976,69.74178049,69.99043902,70.21212195,70.40931707,70.5865122,70.75370732,70.92239024,71.10053659,71.29217073,71.49829268,71.71792683,71.94407317,72.1717561,72.39843902,72.62363415,72.84629268,73.06739024,73.28646341,73.50346341,73.71797561,73.9295122,74.13860976,74.34429268,74.54558537,74.74146341,74.93143902,75.11497561,75.29253659,75.46409756
Australia,70.81707317,70.97317073,70.94243902,70.91170732,70.88097561,70.8502439,70.8195122,70.86926829,70.91902439,70.96878049,71.01853659,71.06829268,71.45756098,71.84682927,72.23609756,72.62536585,73.01463415,73.34439024,73.67414634,74.00390244,74.33365854,74.66341463,74.90487805,75.14634146,75.38780488,75.62926829,75.87073171,76.15170732,76.43268293,76.71365854,76.99463415,77.27560976,77.37804878,77.87804878,77.87804878,77.82926829,78.07804878,78.4804878,78.63170732,78.93170732,79.23414634,79.63414634,79.93658537,80.23902439,80.4902439,80.84146341,81.04146341,81.29268293,81.39512195,81.54390244
Austria,68.58560976,69.57731707,69.3095122,69.44365854,69.92195122,69.72219512,70.04585366,69.91780488,70.05756098,69.83317073,69.89073171,70.06926829,70.41365854,70.97926829,70.96243902,71.08414634,71.55121951,71.89536585,71.96707317,72.28731707,72.42365854,72.75804878,72.89707317,72.96853659,73.52756098,73.74512195,74.22292683,74.66926829,75.14414634,75.24804878,75.53,75.56780488,75.85536585,76.10634146,76.45707317,76.71560976,76.98365854,77.38756098,77.57317073,77.77560976,78.02682927,78.52682927,78.67804878,78.63170732,79.1804878,79.33170732,79.83170732,79.98292683,80.23414634,80.08292683
Barbados,64.47526829,65.08178049,65.61080488,66.07078049,66.47470732,66.83802439,67.1742439,67.49687805,67.81746341,68.145,68.4875122,68.8485122,69.22,69.59602439,69.97160976,70.34331707,70.70319512,71.04826829,71.375,71.68239024,71.97436585,72.25539024,72.53239024,72.80729268,73.08053659,73.34709756,73.60346341,73.84163415,74.05765854,74.25053659,74.41726829,74.55836585,74.67834146,74.7822439,74.87407317,74.95936585,75.04263415,75.12739024,75.21563415,75.30941463,75.40826829,75.50868293,75.60819512,75.70529268,75.80153659,75.90095122,76.00856098,76.12936585,76.26436585,76.41302439
Belgium,70.07034146,70.08621951,70.1012439,70.13146341,70.18943902,70.28214634,70.40853659,70.558,70.72297561,70.89941463,71.08631707,71.28019512,71.48107317,71.6864878,71.89595122,72.10653659,72.31626829,72.52565854,72.73770732,72.95439024,73.18463415,73.43734146,73.7164878,74.021,74.34385366,74.67104878,74.98560976,75.27256098,75.52302439,75.73656098,75.96829268,76.07073171,76.27073171,76.31707317,76.57073171,76.66829268,76.92195122,77.22195122,77.87317073,78.07073171,78.17317073,78.47317073,78.57560976,78.72926829,78.87804878,79.32764146,79.77723659,79.53414634,79.48292683,79.73658537
Belize,60.89585366,61.39180488,61.8984878,62.41543902,62.94360976,63.47741463,64.01217073,64.54173171,65.05797561,65.55987805,66.04395122,66.5127561,66.96843902,67.41260976,67.84580488,68.26656098,68.67436585,69.06819512,69.4454878,69.8057561,70.147,70.46729268,70.76709756,71.04641463,71.30519512,71.54380488,71.76360976,71.96607317,72.15268293,72.32604878,72.48680488,72.63617073,72.77385366,72.901,73.01973171,73.12760976,73.22114634,73.30070732,73.37263415,73.44431707,73.53112195,73.64892683,73.80863415,74.01365854,74.25992683,74.53687805,74.827,75.11185366,75.3775122,75.6185122
Bosnia and Herzegovina,60.20736585,60.88185366,61.51882927,62.12478049,62.7057561,63.26929268,63.82246341,64.36734146,64.90741463,65.44568293,65.98660976,66.53212195,67.07865854,67.61763415,68.14046341,68.63158537,69.07190244,69.45292683,69.77173171,70.03241463,70.27358537,70.54807317,70.8754878,71.23936585,71.59529268,71.79507317,71.65092683,71.08241463,70.10336585,68.81402439,67.46685366,66.38568293,65.829,65.94185366,66.7302439,68.06819512,69.71419512,71.34795122,72.7164878,73.714,74.30812195,74.55317073,74.61536585,74.63487805,74.65963415,74.72363415,74.83436585,74.96860976,75.10631707,75.25043902
Brunei Darussalam,62.33646341,62.87726829,63.40297561,63.91358537,64.41060976,64.89358537,65.362,65.81690244,66.25880488,66.68821951,67.10514634,67.50960976,67.90309756,68.28507317,68.65807317,69.02158537,69.37609756,69.72212195,70.06114634,70.39268293,70.71721951,71.0357561,71.34829268,71.65382927,71.95436585,72.24890244,72.53843902,72.8234878,73.10404878,73.38109756,73.65365854,73.92321951,74.18878049,74.45082927,74.70987805,74.96741463,75.22392683,75.48090244,75.73636585,75.98834146,76.23234146,76.46490244,76.68104878,76.88080488,77.06263415,77.22858537,77.38060976,77.52419512,77.66229268,77.79792683
Canada,71.13317073,71.34609756,71.36707317,71.38073171,71.77634146,71.87219512,72.00439024,72.20780488,72.35341463,72.50146341,72.7004878,73.02926829,72.93390244,73.16268293,73.23756098,73.52170732,73.85609756,74.21560976,74.5297561,74.86634146,75.07804878,75.47853659,75.6804878,76.03634146,76.31756098,76.30341463,76.44,76.7395122,76.80926829,77.06560976,77.37707317,77.55341463,77.32073171,77.68512195,77.86195122,77.97756098,78.2304878,78.4804878,78.66243902,78.88292683,79.23658537,79.48780488,79.5902439,79.83902439,80.14146341,80.29268293,80.64390244,80.80439024,80.96487805,80.66178049
