CountryName,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Algeria,46.98539024,47.51836585,48.06885366,48.63982927,49.23080488,49.83829268,50.45434146,51.07292683,51.68958537,52.30278049,52.91802439,53.54129268,54.17907317,54.83531707,55.5095122,56.19556098,56.88339024,57.5654878,58.24087805,58.91407317,59.60368293,60.33631707,61.12556098,61.9685122,62.84917073,63.736,64.58795122,65.36690244,66.04626829,66.61507317,67.07178049,67.42897561,67.71919512,67.976,68.21787805,68.46587805,68.7344878,69.02565854,69.33836585,69.67304878,70.02417073,70.38112195,70.72990244,71.059,71.36490244,71.64614634,71.90529268,72.15090244,72.38904878,72.6227561
Benin,35.57634146,35.88404878,36.1792439,36.47234146,36.77531707,37.11297561,37.51012195,37.97817073,38.51965854,39.12873171,39.79009756,40.48056098,41.17090244,41.83487805,42.45758537,43.02760976,43.54341463,44.01729268,44.45753659,44.8685122,45.24712195,45.59226829,45.90590244,46.19646341,46.47485366,46.75797561,47.06378049,47.4027561,47.7804878,48.19804878,48.64853659,49.12312195,49.60339024,50.07346341,50.52241463,50.94126829,51.3245122,51.67407317,51.99582927,52.2917561,52.56534146,52.81909756,53.0615122,53.3014878,53.54895122,53.81373171,54.10668293,54.43073171,54.78731707,55.17341463
Bhutan,37.07626829,37.3144878,37.57821951,37.86695122,38.18168293,38.52092683,38.88565854,39.27536585,39.68856098,40.12573171,40.58636585,41.072,41.58212195,42.1157561,42.67087805,43.24597561,43.84253659,44.45704878,45.086,45.72339024,46.35921951,46.9834878,47.59070732,48.18241463,48.76212195,49.33936585,49.92570732,50.53614634,51.17970732,51.86287805,52.58963415,53.35895122,54.16378049,54.99412195,55.84697561,56.72339024,57.62943902,58.56214634,59.51004878,60.45609756,61.37421951,62.23731707,63.02680488,63.73160976,64.34821951,64.88063415,65.34239024,65.75909756,66.15131707,66.53204878
Bolivia,42.65204878,42.96129268,43.27253659,43.58678049,43.9035122,44.21821951,44.52390244,44.82204878,45.11817073,45.42280488,45.75102439,46.12187805,46.54890244,47.04063415,47.60007317,48.22617073,48.91485366,49.64807317,50.40878049,51.18492683,51.96356098,52.7382439,53.50397561,54.25582927,54.98673171,55.689682930000004,56.36307317,57.00887805,57.6285122,58.21892683,58.77807317,59.30241463,59.79346341,60.25378049,60.68639024,61.09587805,61.48729268,61.86573171,62.2357561,62.60087805,62.96368293,63.32417073,63.67880488,64.0275122,64.36929268,64.70404878,65.03021951,65.34773171,65.65809756,65.96385366
China,43.45787805,43.77229268,44.70419512,46.3235122,48.57439024,51.28692683,54.20112195,57.00987805,59.46685366,61.44865854,62.9022439,63.86673171,64.51443902,64.99578049,65.37126829,65.69156098,65.98443902,66.25107317,66.49580488,66.73892683,66.99380488,67.26292683,67.53490244,67.79985366,68.05926829,68.31314634,68.5594878,68.79731707,69.02712195,69.24692683,69.45973171,69.66402439,69.86182927,70.05463415,70.24292683,70.42473171,70.59902439,70.76631707,70.92709755999999,71.08339024,71.24170732,71.40553659,71.57943902,71.76487805,71.96234146,72.17131707,72.38973171,72.61258537,72.83534146,73.0565122
Eritrea,39.10626829,39.52836585,39.94797561,40.36409756,40.7772439,41.19290244,41.61756098,42.0502439,42.48646341,42.91419512,43.317,43.67436585,43.97231707,44.20034146,44.35590244,44.42995122,44.41746341,44.33636585,44.21517073,44.08234146,43.97836585,43.94329268,44.00360976,44.17790244,44.47868293,44.90697561,45.44980488,46.07617073,46.75807317,47.47902439,48.23353659,49.02158537,49.84265854,50.6922439,51.55287805,52.40460976,53.227,54.00653659,54.7357561,55.40758537,56.02497561,56.59429268,57.13246341,57.65392683,58.16268293,58.66426829,59.15773171,59.63921951,60.10526829,60.55692683
Gabon,39.56817073,39.92563415,40.37009756,40.92007317,41.57853659,42.3355122,43.1694878,44.04146341,44.91992683,45.78841463,46.63587805,47.46036585,48.27336585,49.08287805,49.89039024,50.69990244,51.51492683,52.33792683,53.16741463,54.00187805,54.84382927,55.69826829,56.55770732,57.40763415,58.22909756,58.99509756,59.67765854,60.25778049,60.7234878,61.06726829,61.28912195,61.39653659,61.41297561,61.36095122,61.2554878,61.09760976,60.87943902,60.60495122,60.29268293,59.97204878,59.69095122,59.49778049,59.42390244,59.4837561,59.68180488,60.00558537,60.42717073,60.89914634,61.38112195,61.84912195
Guatemala,45.74529268,46.27565854,46.82146341,47.38121951,47.95539024,48.5534878,49.18695122,49.86026829,50.57095122,51.3064878,52.04790244,52.77321951,53.4604878,54.09573171,54.67243902,55.18960976,55.6522439,56.08080488,56.49226829,56.89865854,57.312,57.74131707,58.18763415,58.65297561,59.13936585,59.64478049,60.16519512,60.69460976,61.2254878,61.75636585,62.28668293,62.81846341,63.35370732,63.89346341,64.43682927,64.98639024,65.54380488,66.10614634,66.66741463,67.21812195,67.74417073,68.22895122,68.66231707,69.04212195,69.36780488,69.64785366,69.89473171,70.12504878,70.35234146,70.58463415
Guinea,32.36412195,32.45331707,32.53409756,32.61039024,32.69017073,32.78826829,32.91953659,33.09587805,33.32526829,33.6122439,33.95792683,34.3585122,34.80265854,35.27656098,35.77126829,36.27873171,36.79195122,37.30773171,37.8224878,38.33265854,38.83473171,39.32968293,39.81956098,40.30741463,40.79270732,41.2764878,41.76073171,42.24546341,42.72768293,43.20592683,43.67068293,44.10995122,44.5217561,44.90858537,45.27895122,45.65185366,46.04882927,46.48834146,46.97890244,47.522,48.11014634,48.72982927,49.35702439,49.97373171,50.56895122,51.13565854,51.67336585,52.18856098,52.6872439,53.16992683
Honduras,46.21031707,46.90363415,47.58797561,48.25587805,48.90178049,49.52319512,50.12058537,50.70295122,51.27829268,51.85509756,52.43990244,53.04173171,53.66409756,54.30953659,54.98004878,55.67712195,56.39826829,57.13795122,57.88968293,58.64941463,59.41868293,60.2024878,60.99934146,61.80173171,62.59814634,63.36753659,64.08839024,64.74714634,65.33831707,65.86439024,66.33939024,66.78585366,67.22734146,67.67836585,68.14192683,68.607,69.05453659,69.464,69.82136585,70.12568293,70.38202439,70.60097561,70.80260976,71.00346341,71.21204878,71.43885366,71.68982927,71.95890244,72.24097561,72.532
