CountryName,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Afghanistan,31.13209756,31.47529268,31.83202439,32.20426829,32.59104878,32.98987805,33.39673171,33.80914634,34.22307317,34.6375122,35.05597561,35.48141463,35.91687805,36.36131707,36.81073171,37.25712195,37.69097561,38.10629268,38.49658537,38.86185366,39.20412195,39.52695122,39.83982927,40.1492439,40.45868293,40.77058537,41.08487805,41.399,41.71092683,42.02119512,42.32936585,42.636,42.93973171,43.24209756,43.54265854,43.84090244,44.13680488,44.42980488,44.72134146,45.00985366,45.29285366,45.56726829,45.83314634,46.09243902,46.35119512,46.61641463,46.89909756,47.20531707,47.53856098,47.89885366
Angola,32.98534146,33.38621951,33.78709756,34.18795122,34.58831707,34.98917073,35.3915122,35.79585366,36.20119512,36.60604878,37.01141463,37.41929268,37.82621951,38.22765854,38.61565854,38.9792439,39.305,39.58541463,39.81943902,40.00897561,40.16180488,40.29021951,40.41004878,40.52978049,40.6554878,40.78034146,40.890560980000004,40.97797561,41.04180488,41.0912439,41.14141463,41.20887805,41.31453659,41.47819512,41.71621951,42.05092683,42.50160976,43.06163415,43.71431707,44.43909756,45.20492683,45.97331707,46.71192683,47.39336585,48.00370732,48.53843902,49.00714634,49.43529268,49.84741463,50.25102439
Bangladesh,47.75853659,48.23512195,48.80190244,49.41553659,49.98185366,50.22939024,49.8322439,48.66704878,46.78160976,44.36629268,41.88595122,39.93287805,38.96990244,39.25236585,40.7877561,43.33478049,46.44509756,49.53041463,52.12787805,54.04663415,55.23585366,55.80892683,56.08019512,56.30812195,56.58190244,56.95241463,57.42321951,57.93636585,58.44697561,58.95807317,59.47114634,59.98970732,60.51473171,61.04673171,61.58321951,62.12268293,62.66212195,63.19656098,63.72197561,64.23390244,64.73034146,65.20831707,65.66831707,66.10985366,66.53136585,66.93229268,67.31007317,67.66665854,68.00402439,68.32521951
Benin,35.57634146,35.88404878,36.1792439,36.47234146,36.77531707,37.11297561,37.51012195,37.97817073,38.51965854,39.12873171,39.79009756,40.48056098,41.17090244,41.83487805,42.45758537,43.02760976,43.54341463,44.01729268,44.45753659,44.8685122,45.24712195,45.59226829,45.90590244,46.19646341,46.47485366,46.75797561,47.06378049,47.4027561,47.7804878,48.19804878,48.64853659,49.12312195,49.60339024,50.07346341,50.52241463,50.94126829,51.3245122,51.67407317,51.99582927,52.2917561,52.56534146,52.81909756,53.0615122,53.3014878,53.54895122,53.81373171,54.10668293,54.43073171,54.78731707,55.17341463
Bhutan,37.07626829,37.3144878,37.57821951,37.86695122,38.18168293,38.52092683,38.88565854,39.27536585,39.68856098,40.12573171,40.58636585,41.072,41.58212195,42.1157561,42.67087805,43.24597561,43.84253659,44.45704878,45.086,45.72339024,46.35921951,46.9834878,47.59070732,48.18241463,48.76212195,49.33936585,49.92570732,50.53614634,51.17970732,51.86287805,52.58963415,53.35895122,54.16378049,54.99412195,55.84697561,56.72339024,57.62943902,58.56214634,59.51004878,60.45609756,61.37421951,62.23731707,63.02680488,63.73160976,64.34821951,64.88063415,65.34239024,65.75909756,66.15131707,66.53204878
Burkina Faso,35.86314634,36.37460976,36.87756098,37.37502439,37.8664878,38.35743902,38.85087805,39.34982927,39.8567561,40.37368293,40.90112195,41.43856098,41.98397561,42.53341463,43.08336585,43.63480488,44.19026829,44.74621951,45.29619512,45.83014634,46.33160976,46.78504878,47.17995122,47.51134146,47.77821951,47.98158537,48.12843902,48.23382927,48.31521951,48.38463415,48.45304878,48.52741463,48.61173171,48.71002439,48.83082927,48.9797561,49.15943902,49.36997561,49.61034146,49.8854878,50.20129268,50.56556098,50.97763415,51.43236585,51.92221951,52.43519512,52.95790244,53.47695122,53.9824878,54.46604878
Cambodia,42.40414634,42.89490244,43.43168293,43.9905122,44.52839024,44.97585366,45.25541463,45.30658537,45.08185366,44.55621951,43.63270732,42.20785366,40.34660976,38.21192683,36.01119512,34.12573171,32.98534146,32.84090244,33.78990244,35.78941463,38.62407317,41.94058537,45.27673171,48.25119512,50.67160976,52.43502439,53.57090244,54.29614634,54.79963415,55.14785366,55.39729268,55.58146341,55.71439024,55.81604878,55.92385366,56.06526829,56.25726829,56.49226829,56.76714634,57.08882927,57.46414634,57.89646341,58.37521951,58.88943902,59.42863415,59.97939024,60.52831707,61.06458537,61.58085366,62.07219512
Central African Republic,36.48263415,36.89570732,37.31878049,37.76034146,38.22536585,38.72636585,39.2737561,39.87156098,40.51826829,41.20939024,41.94192683,42.71146341,43.503,44.29756098,45.07965854,45.8327561,46.54629268,47.21121951,47.81853659,48.35478049,48.80953659,49.17634146,49.45682927,49.65253659,49.76402439,49.79229268,49.73931707,49.61304878,49.41797561,49.15956098,48.82887805,48.41497561,47.91739024,47.35060976,46.73858537,46.10629268,45.48017073,44.89163415,44.37256098,43.95334146,43.66336585,43.52353659,43.52882927,43.67219512,43.94612195,44.34756098,44.8675122,45.48253659,46.1632439,46.88370732
Djibouti,38.536,39.00968293,39.48182927,39.95490244,40.42892683,40.90336585,41.37878049,41.85317073,42.32509756,42.79256098,43.25407317,43.70414634,44.14378049,44.57497561,45.00168293,45.43392683,45.88565854,46.36339024,46.86609756,47.3872439,47.91285366,48.42190244,48.89787805,49.32731707,49.70621951,50.03760976,50.328,50.59490244,50.85334146,51.10880488,51.36631707,51.62436585,51.88041463,52.1314878,52.37907317,52.62419512,52.865390239999996,53.10365854,53.3435122,53.58941463,53.85034146,54.1347561,54.44712195,54.78939024,55.15902439,55.55002439,55.95285366,56.35653659,56.75509756,57.14504878
Equatorial Guinea,36.73304878,37.0324878,37.33192683,37.63134146,37.93126829,38.23117073,38.53158537,38.833,39.13643902,39.43987805,39.74385366,40.04685366,40.34736585,40.64739024,40.94690244,41.24636585,41.54778049,41.85309756,42.16382927,42.483,42.81417073,43.16039024,43.52270732,43.90017073,44.2897561,44.69292683,45.10814634,45.53082927,45.95395122,46.36846341,46.76543902,47.13485366,47.47229268,47.77229268,48.03139024,48.24260976,48.4,48.51153659,48.58719512,48.64095122,48.69026829,48.75556098,48.85178049,48.98892683,49.17192683,49.40029268,49.6655122,49.95263415,50.24721951,50.5447561
